waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	0.000100

time	Y[0]
01-01-1904  00:00:00.024800	6.197033E-1
01-01-1904  00:00:00.024900	6.222531E-1
01-01-1904  00:00:00.025000	6.197033E-1
01-01-1904  00:00:00.025100	6.273529E-1
01-01-1904  00:00:00.025200	6.260780E-1
01-01-1904  00:00:00.025300	6.311777E-1
01-01-1904  00:00:00.025400	6.248030E-1
01-01-1904  00:00:00.025500	6.146035E-1
01-01-1904  00:00:00.025600	6.222531E-1
01-01-1904  00:00:00.025700	6.146035E-1
01-01-1904  00:00:00.025800	6.222531E-1
01-01-1904  00:00:00.025900	6.133286E-1
01-01-1904  00:00:00.026000	6.209782E-1
01-01-1904  00:00:00.026100	6.133286E-1
01-01-1904  00:00:00.026200	6.197033E-1
01-01-1904  00:00:00.026300	6.209782E-1
01-01-1904  00:00:00.026400	6.235281E-1
01-01-1904  00:00:00.026500	6.286279E-1
01-01-1904  00:00:00.026600	6.248030E-1
01-01-1904  00:00:00.026700	6.286279E-1
01-01-1904  00:00:00.026800	6.235281E-1
01-01-1904  00:00:00.026900	6.184283E-1
01-01-1904  00:00:00.027000	6.209782E-1
01-01-1904  00:00:00.027100	6.197033E-1
01-01-1904  00:00:00.027200	6.171534E-1
01-01-1904  00:00:00.027300	6.158784E-1
01-01-1904  00:00:00.027400	6.171534E-1
01-01-1904  00:00:00.027500	6.273529E-1
01-01-1904  00:00:00.027600	6.197033E-1
01-01-1904  00:00:00.027700	6.171534E-1
01-01-1904  00:00:00.027800	6.184283E-1
01-01-1904  00:00:00.027900	6.133286E-1
01-01-1904  00:00:00.028000	6.158784E-1
01-01-1904  00:00:00.028100	6.133286E-1
01-01-1904  00:00:00.028200	6.197033E-1
01-01-1904  00:00:00.028300	6.120536E-1
01-01-1904  00:00:00.028400	6.184283E-1
01-01-1904  00:00:00.028500	6.171534E-1
01-01-1904  00:00:00.028600	6.209782E-1
01-01-1904  00:00:00.028700	6.184283E-1
01-01-1904  00:00:00.028800	6.324527E-1
01-01-1904  00:00:00.028900	6.235281E-1
01-01-1904  00:00:00.029000	6.299028E-1
01-01-1904  00:00:00.029100	6.260780E-1
01-01-1904  00:00:00.029200	6.197033E-1
01-01-1904  00:00:00.029300	6.209782E-1
01-01-1904  00:00:00.029400	6.248030E-1
01-01-1904  00:00:00.029500	6.222531E-1
01-01-1904  00:00:00.029600	6.197033E-1
01-01-1904  00:00:00.029700	6.197033E-1
01-01-1904  00:00:00.029800	6.146035E-1
01-01-1904  00:00:00.029900	6.209782E-1
01-01-1904  00:00:00.030000	6.158784E-1
01-01-1904  00:00:00.030100	6.209782E-1
01-01-1904  00:00:00.030200	6.146035E-1
01-01-1904  00:00:00.030300	6.222531E-1
01-01-1904  00:00:00.030400	6.171534E-1
01-01-1904  00:00:00.030500	6.248030E-1
01-01-1904  00:00:00.030600	6.260780E-1
01-01-1904  00:00:00.030700	6.273529E-1
01-01-1904  00:00:00.030800	6.311777E-1
01-01-1904  00:00:00.030900	6.260780E-1
01-01-1904  00:00:00.031000	6.273529E-1
01-01-1904  00:00:00.031100	6.209782E-1
