Pixel,Wavelength (nm),Intensity (a.u.)
Pixel,Wavelength,Intensity
849,710.858,4240
850,711.251,4238.42
851,711.643,4237.67
852,712.035,4237.5
853,712.428,4238.75
854,712.82,4248
855,713.212,4257
856,713.604,4268.58
857,713.995,4288.58
858,714.387,4297.75
859,714.779,4294.92
860,715.17,4302.17
861,715.562,4325.17
862,715.953,4332.58
863,716.344,4314.08
864,716.735,4294.58
865,717.127,4285.75
866,717.517,4276.58
867,717.908,4257.67
868,718.299,4239.5
869,718.69,4241.75
870,719.08,4236.5
871,719.471,4211.67
872,719.861,4190.25
873,720.251,4173.17
874,720.641,4159.17
875,721.031,4164.17
876,721.421,4181.5
877,721.811,4185.33
878,722.201,4193.67
879,722.59,4195.83
880,722.98,4186.08
881,723.369,4189.33
882,723.759,4193.17
883,724.148,4183.58
884,724.537,4176.58
885,724.926,4179.33
886,725.315,4188.67
887,725.704,4196.08
888,726.092,4196.17
889,726.481,4201.75
890,726.87,4193.42
891,727.258,4178
892,727.646,4178.17
893,728.034,4175.67
894,728.423,4174.83
895,728.811,4185.42
896,729.198,4195.5
897,729.586,4191.5
898,729.974,4176.92
899,730.362,4160.58
900,730.749,4147.75
901,731.136,4152.75
902,731.524,4146.75
903,731.911,4148.58
904,732.298,4161.5
905,732.685,4162.83
906,733.072,4153.42
907,733.459,4144
908,733.845,4139.83
909,734.232,4127.17
910,734.618,4108.25
911,735.005,4103
912,735.391,4123.67
913,735.777,4140.33
914,736.163,4149.42
915,736.549,4159.5
916,736.935,4162.25
917,737.321,4170.33
918,737.706,4178
919,738.092,4178.25
920,738.477,4185.83
921,738.863,4203.92
922,739.248,4208.75
923,739.633,4208.08
924,740.018,4214.92
925,740.403,4215.75
926,740.788,4219.33
927,741.173,4225.75
928,741.557,4239.17
929,741.942,4251.42
930,742.326,4238.75
931,742.711,4227.33
932,743.095,4236
933,743.479,4243.08
934,743.863,4239.67
935,744.247,4244.83
936,744.631,4257.08
937,745.015,4257.75
938,745.398,4254.33
939,745.782,4252.33
940,746.165,4251
941,746.548,4244
942,746.932,4233
943,747.315,4230.5
944,747.698,4231.75
945,748.081,4229.5
946,748.463,4223.08
947,748.846,4220.67
948,749.229,4226.33
949,749.611,4233.75
950,749.993,4243.92
951,750.376,4250.92
952,750.758,4254.83
953,751.14,4248.75
954,751.522,4240
955,751.904,4251.42
956,752.285,4263.75
957,752.667,4279.08
958,753.049,4290.67
959,753.43,4289.83
960,753.811,4288.08
961,754.193,4272.92
962,754.574,4261.25
963,754.955,4262.67
964,755.336,4268.25
965,755.717,4276.33
966,756.097,4278.42
967,756.478,4287
968,756.858,4296.5
969,757.239,4295.75
970,757.619,4285.42
971,757.999,4264.83
972,758.379,4243.42
973,758.759,4234.33
974,759.139,4243.17
975,759.519,4248.58
976,759.899,4238.42
977,760.278,4239.83
978,760.658,4248.58
979,761.037,4251.08
980,761.417,4251.58
981,761.796,4260.25
982,762.175,4271.08
983,762.554,4281.92
984,762.933,4301.33
985,763.311,4318.17
986,763.69,4330.92
987,764.068,4335.5
988,764.447,4335.92
989,764.825,4337.42
