depth[mm]	HF [V]	NF [V]	TGC [dB]
63,7	0,016	-0,014	10,236
63,8	0,015	0,001	10,236
63,9	0,013	0,012	10,236
64,1	0,012	0,007	10,236
64,2	0,013	-0,007	10,236
64,4	0,015	-0,015	10,236
64,5	0,017	-0,008	10,236
64,6	0,018	0,007	10,236
64,8	0,018	0,016	10,236
64,9	0,015	0,014	10,236
65,1	0,011	0,007	10,236
65,2	0,007	0,001	10,219
65,3	0,005	-0,001	10,254
65,5	0,004	0,000	10,271
65,6	0,005	0,000	10,254
65,7	0,007	-0,002	10,236
65,9	0,009	-0,007	10,236
66,0	0,010	-0,010	10,254
66,2	0,011	-0,008	10,236
66,3	0,010	-0,001	10,236
66,4	0,009	0,006	10,236
66,6	0,008	0,007	10,236
66,7	0,007	0,001	10,236
66,9	0,008	-0,007	10,289
67,0	0,009	-0,008	10,306
67,1	0,011	0,000	10,376
67,3	0,013	0,009	10,359
67,4	0,012	0,012	10,289
67,6	0,010	0,006	10,254
67,7	0,006	0,000	10,394
67,8	0,003	-0,002	10,359
68,0	0,003	0,000	10,394
68,1	0,004	0,001	10,394
68,2	0,006	-0,002	10,394
68,4	0,008	-0,007	10,394
68,5	0,009	-0,009	10,376
68,7	0,008	-0,006	10,394
68,8	0,006	-0,002	10,394
68,9	0,005	0,000	10,394
69,1	0,004	0,001	10,394
69,2	0,004	0,002	10,394
69,4	0,003	0,003	10,394
69,5	0,003	0,002	10,394
69,6	0,002	0,000	10,394
69,8	0,002	-0,002	10,394
69,9	0,002	-0,001	10,394
70,1	0,003	0,001	10,394
70,2	0,003	0,003	10,394
70,3	0,003	0,003	10,394
70,5	0,002	0,001	10,394
70,6	0,001	0,000	10,394
70,8	0,001	-0,001	10,394
70,9	0,001	-0,001	10,394
71,0	0,001	-0,001	10,429
71,2	0,001	-0,001	10,394
71,3	0,001	-0,001	10,411
71,4	0,001	-0,001	10,394
71,6	0,002	-0,001	10,464
71,7	0,002	0,000	10,394
71,9	0,002	0,001	10,516
72,0	0,002	0,002	10,534
72,1	0,002	0,002	10,551
72,3	0,001	0,001	10,534
72,4	0,000	0,000	10,551
72,6	0,000	0,000	10,551
72,7	0,000	0,000	10,551
72,8	0,001	0,000	10,551
73,0	0,001	-0,001	10,551
73,1	0,001	-0,001	10,551
73,3	0,001	-0,001	10,551
73,4	0,001	-0,001	10,551
73,5	0,002	-0,001	10,551
73,7	0,004	-0,001	10,551
73,8	0,005	0,001	10,551
73,9	0,006	0,005	10,551
74,1	0,006	0,006	10,551
