time [µs]	HF [V]	NF [V]	TGC [dB]
37,8	0,010	0,001	0,140
37,9	0,010	0,006	0,157
38,0	0,010	0,009	0,140
38,1	0,008	0,008	0,157
38,2	0,007	0,004	0,157
38,3	0,005	0,001	0,157
38,4	0,003	0,000	0,157
38,5	0,002	-0,001	0,157
38,6	0,001	-0,001	0,157
38,7	0,001	-0,001	0,157
38,8	0,001	0,000	0,157
38,9	0,001	0,000	0,157
39,0	0,002	-0,002	0,157
39,1	0,002	-0,002	0,157
39,2	0,003	-0,001	0,157
39,3	0,003	0,002	0,157
39,4	0,002	0,002	0,157
39,5	0,002	0,000	0,157
39,6	0,002	-0,002	0,157
39,7	0,002	-0,001	0,157
39,8	0,002	0,001	0,157
39,9	0,002	0,001	0,157
40,0	0,001	-0,001	0,157
40,1	0,001	-0,001	0,157
40,2	0,001	0,000	0,157
40,3	0,002	0,001	0,157
40,4	0,003	-0,002	0,157
40,5	0,005	-0,004	0,157
40,6	0,005	-0,002	0,157
40,7	0,005	0,004	0,157
40,8	0,004	0,004	0,157
40,9	0,003	-0,001	0,157
41,0	0,003	-0,002	0,157
41,1	0,005	0,004	0,157
41,2	0,008	0,007	0,157
41,3	0,012	-0,003	0,157
41,4	0,017	-0,017	0,157
41,5	0,024	-0,014	0,157
41,6	0,032	0,012	0,157
41,7	0,041	0,041	0,157
41,8	0,051	0,038	0,140
41,9	0,061	-0,001	0,140
42,0	0,068	-0,050	0,157
42,1	0,072	-0,072	0,157
42,2	0,073	-0,055	0,157
42,3	0,072	-0,014	0,157
42,4	0,071	0,030	0,157
42,5	0,069	0,060	0,157
42,6	0,067	0,067	0,157
42,7	0,064	0,047	0,157
42,8	0,058	0,010	0,157
42,9	0,049	-0,022	0,157
43,0	0,039	-0,034	0,157
43,1	0,030	-0,030	0,157
43,2	0,024	-0,021	0,157
43,3	0,021	-0,015	0,157
43,4	0,019	-0,009	0,157
43,5	0,017	0,000	0,157
43,6	0,013	0,007	0,140
43,7	0,010	0,007	0,157
43,8	0,008	0,005	0,157
43,9	0,010	0,007	0,157
44,0	0,013	0,013	0,157
44,1	0,016	0,015	0,157
44,2	0,015	0,010	0,157
44,3	0,012	0,001	0,157
44,4	0,008	-0,003	0,157
44,5	0,006	-0,002	0,157
44,6	0,007	-0,003	0,157
44,7	0,009	-0,007	0,157
44,8	0,011	-0,011	0,157
44,9	0,012	-0,010	0,157
45,0	0,011	-0,006	0,140
45,1	0,010	0,000	0,157
45,2	0,010	0,006	0,140
45,3	0,010	0,009	0,157
45,4	0,009	0,009	0,140
45,5	0,008	0,006	0,157
45,6	0,006	0,001	0,157
45,7	0,004	-0,001	0,157
45,8	0,004	-0,001	0,157
45,9	0,005	-0,001	0,157
46,0	0,006	-0,004	0,157
46,1	0,008	-0,007	0,157
46,2	0,008	-0,007	0,157
46,3	0,007	-0,004	0,157
46,4	0,006	-0,001	0,157
46,5	0,005	0,000	0,157
46,6	0,006	0,002	0,157
46,7	0,007	0,005	0,157
46,8	0,007	0,007	0,157
46,9	0,007	0,005	0,157
47,0	0,005	0,001	0,157
47,1	0,003	-0,002	0,140
47,2	0,002	-0,002	0,157
47,3	0,001	0,000	0,157
47,4	0,001	0,000	0,157
47,5	0,001	-0,001	0,157
47,6	0,001	-0,001	0,157
47,7	0,001	0,000	0,157
47,8	0,001	0,000	0,157
47,9	0,001	0,000	0,157
48,0	0,001	-0,001	0,157
48,1	0,001	-0,001	0,157
48,2	0,002	-0,001	0,157
48,3	0,002	-0,001	0,157
48,4	0,002	0,000	0,157
48,5	0,002	0,001	0,157
48,6	0,003	0,002	0,157
48,7	0,003	0,003	0,157
48,8	0,003	0,002	0,157
48,9	0,002	0,001	0,157
49,0	0,001	0,000	0,157
49,1	0,001	0,000	0,157
49,2	0,001	0,000	0,157
49,3	0,001	0,000	0,157
49,4	0,001	0,000	0,157
49,5	0,000	0,000	0,157
49,6	0,000	0,000	0,157
49,7	0,000	0,000	0,157
49,8	0,000	0,000	0,157
49,9	0,000	0,000	0,157
50,0	0,000	0,000	0,157
50,1	0,000	0,000	0,157
50,2	0,000	0,000	0,157
50,3	0,000	0,000	0,157
50,4	0,000	0,000	0,157
50,5	0,001	-0,001	0,157
50,6	0,001	0,000	0,157
50,7	0,001	0,000	0,157
50,8	0,001	0,001	0,157
50,9	0,001	0,001	0,157
51,0	0,001	0,000	0,157
51,1	0,001	0,001	0,157
51,2	0,002	0,002	0,157
51,3	0,003	0,003	0,157
51,4	0,003	0,001	0,157
51,5	0,003	-0,001	0,157
51,6	0,003	-0,002	0,157
51,7	0,002	-0,002	0,157
51,8	0,001	0,000	0,157
51,9	0,001	0,000	0,157
52,0	0,001	0,001	0,157
52,1	0,001	0,001	0,157
