depth[mm]	HF [V]	NF [V]	TGC [dB]
46,0	0,003	-0,002	9,571
46,1	0,003	0,001	9,484
46,3	0,002	0,002	9,589
46,4	0,002	0,001	9,571
46,6	0,001	0,001	9,589
46,7	0,002	0,000	9,571
46,8	0,002	-0,001	9,606
47,0	0,002	-0,003	9,606
47,1	0,002	-0,002	9,606
47,3	0,002	0,000	9,606
47,4	0,002	-0,001	9,606
47,5	0,002	-0,003	9,606
47,7	0,003	-0,002	9,606
47,8	0,005	0,003	9,606
48,0	0,008	0,007	9,606
48,1	0,010	0,003	9,606
48,2	0,013	-0,009	9,606
48,4	0,014	-0,015	9,606
48,5	0,015	-0,007	9,606
48,6	0,014	0,008	9,606
48,8	0,015	0,014	9,606
48,9	0,016	0,002	9,606
49,1	0,019	-0,015	9,624
49,2	0,021	-0,020	9,606
49,3	0,021	-0,008	9,606
49,5	0,020	0,010	9,606
49,6	0,016	0,016	9,641
49,8	0,013	0,009	9,606
49,9	0,010	-0,002	9,676
50,0	0,007	-0,006	9,606
50,2	0,004	-0,004	9,676
50,3	0,002	-0,001	9,659
50,5	0,000	0,000	9,729
50,6	0,001	0,002	9,729
50,7	0,004	0,002	9,746
50,9	0,008	-0,001	9,746
51,0	0,009	-0,007	9,746
51,2	0,008	-0,009	9,729
51,3	0,005	-0,005	9,764
51,4	0,004	0,000	9,764
51,6	0,006	-0,004	9,764
51,7	0,011	-0,012	9,764
51,8	0,016	-0,013	9,764
52,0	0,019	-0,001	9,764
52,1	0,019	0,013	9,764
52,3	0,016	0,015	9,764
52,4	0,012	0,004	9,764
52,5	0,009	-0,007	9,764
52,7	0,007	-0,007	9,764
52,8	0,005	-0,002	9,764
53,0	0,003	0,001	9,764
53,1	0,002	0,001	9,764
53,2	0,003	0,003	9,764
53,4	0,007	0,007	9,764
53,5	0,013	0,005	9,764
53,7	0,018	-0,007	9,764
53,8	0,022	-0,020	9,781
53,9	0,023	-0,022	9,764
54,1	0,020	-0,011	9,764
54,2	0,016	0,001	9,764
54,3	0,011	0,006	9,869
54,5	0,006	0,004	9,764
54,6	0,003	0,002	9,869
54,8	0,001	0,002	9,781
54,9	0,001	0,001	9,886
55,0	0,002	-0,001	9,869
55,2	0,004	-0,003	9,921
55,3	0,005	-0,001	9,921
55,5	0,004	0,001	9,921
55,6	0,003	0,002	9,921
55,7	0,002	0,001	9,921
55,9	0,002	0,000	9,921
56,0	0,002	0,000	9,921
56,2	0,002	0,000	9,921
56,3	0,003	0,000	9,921
56,4	0,003	0,000	9,921
56,6	0,002	0,001	9,939
56,7	0,002	0,001	9,921
56,9	0,003	0,000	9,921
57,0	0,004	0,001	9,921
57,1	0,004	0,002	9,939
57,3	0,004	0,004	9,921
57,4	0,003	0,004	9,939
57,5	0,002	0,002	9,939
57,7	0,002	0,000	10,026
57,8	0,001	-0,001	9,939
58,0	0,001	0,000	10,009
58,1	0,001	0,001	9,991
