depth[mm]	HF [V]	NF [V]	TGC [dB]
99,4	0,000	0,000	0,017
99,5	0,000	0,000	0,000
99,7	0,000	0,000	0,017
99,8	0,000	0,000	0,000
99,9	0,000	0,000	0,000
100,1	0,000	0,000	0,000
100,2	0,000	0,000	0,017
100,4	0,000	0,000	0,000
100,5	0,000	0,000	0,000
100,6	0,000	0,000	0,000
100,8	0,000	0,000	0,000
100,9	0,000	0,000	0,000
101,1	0,000	0,000	0,017
101,2	0,000	0,000	0,000
101,3	0,000	0,000	0,000
101,5	0,000	0,000	0,017
101,6	0,000	0,000	0,000
101,7	0,001	0,000	0,000
101,9	0,001	0,000	0,000
102,0	0,001	0,000	0,000
102,2	0,001	0,001	0,035
102,3	0,000	0,000	0,000
102,4	0,000	0,000	0,000
102,6	0,000	0,000	0,017
102,7	0,000	0,000	0,017
102,9	0,001	0,000	0,000
103,0	0,001	0,000	0,017
103,1	0,001	0,000	0,000
103,3	0,001	0,001	0,017
103,4	0,001	0,001	0,000
103,6	0,001	0,001	0,035
103,7	0,001	0,000	0,000
