time,Y 
0.548301,0.5725305
0.548323,0.5750803
0.548345,0.5687056
0.548368,0.5725305
0.548390,0.5712555
0.548412,0.5699806
0.548434,0.5738054
0.548456,0.5687056
0.548479,0.5725305
0.548501,0.5712555
0.548523,0.5725305
0.548545,0.5750803
0.548568,0.5687056
0.548590,0.5712555
0.548612,0.5725305
0.548634,0.5687056
0.548656,0.5750803
0.548679,0.5712555
0.548701,0.5712555
0.548723,0.5750803
0.548745,0.5699806
0.548767,0.5712555
0.548790,0.5725305
0.548812,0.5687056
0.548834,0.5750803
0.548856,0.5712555
0.548878,0.5738054
0.548901,0.5738054
0.548923,0.5687056
0.548945,0.5738054
0.548967,0.5725305
0.548989,0.5699806
0.549012,0.5725305
0.549034,0.5687056
0.549056,0.5750803
0.549078,0.5725305
0.549101,0.5712555
0.549123,0.5750803
0.549145,0.5687056
0.549167,0.5725305
0.549189,0.5725305
0.549212,0.5687056
0.549234,0.5750803
0.549256,0.5725305
0.549278,0.5712555
0.549300,0.5750803
0.549323,0.5699806
0.549345,0.5725305
0.549367,0.5712555
0.549389,0.5687056
0.549411,0.5750803
0.549434,0.5712555
0.549456,0.5725305
0.549478,0.5712555
0.549500,0.5712555
0.549522,0.5750803
0.549545,0.5699806
0.549567,0.5725305
0.549589,0.5712555
0.549611,0.5687056
0.549634,0.5738054
0.549656,0.5712555
0.549678,0.5712555
0.549700,0.5750803
0.549722,0.5699806
0.549745,0.5725305
0.549767,0.5712555
0.549789,0.5687056
0.549811,0.5750803
0.549833,0.5712555
0.549856,0.5712555
0.549878,0.5725305
0.549900,0.5674307
0.549922,0.5750803
0.549944,0.5712555
0.549967,0.5687056
0.549989,0.5750803
0.550011,0.5699806
0.550033,0.5750803
0.550055,0.5699806
0.550078,0.5725305
0.550100,0.5750803
0.550122,0.5699806
0.550144,0.5712555
0.550167,0.5725305
0.550189,0.5699806
0.550211,0.5738054
0.550233,0.5725305
0.550255,0.5712555
0.550278,0.5750803
0.550300,0.5687056
0.550322,0.5725305
0.550344,0.5725305
0.550366,0.5699806
0.550389,0.5750803
0.550411,0.5725305
0.550433,0.5712555
0.550455,0.5750803
0.550477,0.5687056
0.550500,0.5750803
0.550522,0.5699806
0.550544,0.5725305
0.550566,0.5750803
0.550588,0.5699806
0.550611,0.5750803
0.550633,0.5712555
0.550655,0.5712555
0.550677,0.5738054
0.550700,0.5699806
0.550722,0.5725305
0.550744,0.5725305
0.550766,0.5687056
0.550788,0.5750803
0.550811,0.5725305
0.550833,0.5725305
0.550855,0.5738054
0.550877,0.5699806
0.550899,0.5725305
0.550922,0.5712555
0.550944,0.5699806
0.550966,0.5750803
0.550988,0.5699806
0.551010,0.5750803
0.551033,0.5712555
0.551055,0.5725305
0.551077,0.5738054
0.551099,0.5687056
0.551121,0.5712555
0.551144,0.5725305
0.551166,0.5699806
0.551188,0.5750803
0.551210,0.5725305
0.551233,0.5725305
0.551255,0.5750803
0.551277,0.5687056
0.551299,0.5725305
0.551321,0.5725305
0.551344,0.5725305
0.551366,0.5738054
0.551388,0.5687056
0.551410,0.5712555
0.551432,0.5712555
0.551455,0.5687056
0.551477,0.5750803
0.551499,0.5712555
0.551521,0.5725305
0.551543,0.5750803
0.551566,0.5687056
0.551588,0.5725305
0.551610,0.5725305
0.551632,0.5687056
0.551654,0.5750803
0.551677,0.5712555
0.551699,0.5725305
0.551721,0.5750803
0.551743,0.5687056
0.551766,0.5738054
0.551788,0.5687056
0.551810,0.5725305
0.551832,0.5712555
0.551854,0.5699806
0.551877,0.5738054
0.551899,0.5725305
0.551921,0.5687056
0.551943,0.5750803
0.551965,0.5687056
0.551988,0.5712555
0.552010,0.5725305
0.552032,0.5699806
0.552054,0.5738054
0.552076,0.5725305
0.552099,0.5712555
0.552121,0.5750803
0.552143,0.5687056
0.552165,0.5725305
0.552187,0.5712555
0.552210,0.5687056
0.552232,0.5725305
0.552254,0.5687056
0.552276,0.5712555
0.552299,0.5725305
0.552321,0.5725305
0.552343,0.5750803
0.552365,0.5699806
0.552387,0.5725305
0.552410,0.5712555
0.552432,0.5687056
0.552454,0.5738054
0.552476,0.5712555
0.552498,0.5725305
0.552521,0.5738054
0.552543,0.5699806
0.552565,0.5725305
0.552587,0.5725305
0.552609,0.5687056
0.552632,0.5725305
0.552654,0.5725305
0.552676,0.5712555
0.552698,0.5750803
0.552720,0.5712555
0.552743,0.5738054
0.552765,0.5725305
0.552787,0.5725305
0.552809,0.5750803
0.552832,0.5699806
0.552854,0.5725305
0.552876,0.5687056
0.552898,0.5674307
0.552920,0.5750803
0.552943,0.5712555
0.552965,0.5750803
0.552987,0.5725305
0.553009,0.5725305
0.553031,0.5750803
0.553054,0.5725305
0.553076,0.5712555
0.553098,0.5712555
0.553120,0.5699806
0.553142,0.5750803
0.553165,0.5725305
0.553187,0.5712555
0.553209,0.5750803
0.553231,0.5687056
0.553253,0.5712555
0.553276,0.5725305
0.553298,0.5699806
0.553320,0.5738054
0.553342,0.5725305
0.553365,0.5699806
0.553387,0.5750803
0.553409,0.5687056
0.553431,0.5750803
0.553453,0.5712555
0.553476,0.5725305
0.553498,0.5750803
0.553520,0.5687056
0.553542,0.5712555
0.553564,0.5738054
0.553587,0.5687056
0.553609,0.5750803
0.553631,0.5725305
0.553653,0.5725305
0.553675,0.5750803
0.553698,0.5687056
0.553720,0.5712555
0.553742,0.5712555
0.553764,0.5725305
0.553786,0.5725305
0.553809,0.5699806
0.553831,0.5738054
0.553853,0.5712555
0.553875,0.5725305
0.553898,0.5750803
0.553920,0.5699806
0.553942,0.5725305
0.553964,0.5725305
0.553986,0.5687056
0.554009,0.5750803
0.554031,0.5725305
0.554053,0.5725305
0.554075,0.5750803
0.554097,0.5687056
0.554120,0.5750803
0.554142,0.5712555
0.554164,0.5725305
0.554186,0.5738054
0.554208,0.5687056
0.554231,0.5725305
0.554253,0.5725305
0.554275,0.5687056
0.554297,0.5750803
0.554319,0.5712555
0.554342,0.5725305
0.554364,0.5750803
0.554386,0.5687056
0.554408,0.5712555
0.554431,0.5725305
0.554453,0.5687056
0.554475,0.5738054
0.554497,0.5687056
0.554519,0.5725305
0.554542,0.5712555
0.554564,0.5712555
0.554586,0.5750803
0.554608,0.5699806
0.554630,0.5725305
0.554653,0.5712555
0.554675,0.5687056
0.554697,0.5750803
0.554719,0.5738054
0.554741,0.5712555
0.554764,0.5750803
0.554786,0.5687056
0.554808,0.5725305
0.554830,0.5712555
0.554852,0.5687056
0.554875,0.5725305
0.554897,0.5725305
0.554919,0.5738054
0.554941,0.5750803
0.554964,0.5687056
0.554986,0.5725305
0.555008,0.5687056
0.555030,0.5725305
0.555052,0.5725305
0.555075,0.5687056
0.555097,0.5725305
0.555119,0.5712555
0.555141,0.5725305
0.555163,0.5750803
0.555186,0.5687056
0.555208,0.5712555
0.555230,0.5712555
0.555252,0.5687056
0.555274,0.5750803
0.555297,0.5725305
0.555319,0.5725305
0.555341,0.5750803
0.555363,0.5699806
0.555385,0.5712555
0.555408,0.5712555
0.555430,0.5687056
0.555452,0.5750803
0.555474,0.5725305
0.555497,0.5712555
0.555519,0.5750803
0.555541,0.5699806
0.555563,0.5750803
0.555585,0.5687056
0.555608,0.5699806
0.555630,0.5725305
0.555652,0.5674307
0.555674,0.5750803
0.555696,0.5725305
0.555719,0.5725305
0.555741,0.5750803
0.555763,0.5699806
0.555785,0.5725305
0.555807,0.5712555
0.555830,0.5687056
0.555852,0.5750803
0.555874,0.5725305
0.555896,0.5725305
0.555918,0.5750803
0.555941,0.5687056
0.555963,0.5725305
0.555985,0.5725305
0.556007,0.5674307
0.556030,0.5750803
0.556052,0.5712555
0.556074,0.5738054
0.556096,0.5738054
0.556118,0.5725305
0.556141,0.5750803
0.556163,0.5725305
0.556185,0.5712555
0.556207,0.5699806
0.556229,0.5699806
0.556252,0.5738054
0.556274,0.5725305
0.556296,0.5712555
0.556318,0.5750803
0.556340,0.5699806
0.556363,0.5699806
0.556385,0.5712555
