waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	2.500000E-5

time	Y[0]
01-01-1904  00:00:00.005150	6.069539E-1
01-01-1904  00:00:00.005175	6.120536E-1
01-01-1904  00:00:00.005200	6.133286E-1
01-01-1904  00:00:00.005225	6.197033E-1
01-01-1904  00:00:00.005250	6.107787E-1
01-01-1904  00:00:00.005275	6.171534E-1
01-01-1904  00:00:00.005300	6.095037E-1
01-01-1904  00:00:00.005325	6.171534E-1
01-01-1904  00:00:00.005350	6.107787E-1
01-01-1904  00:00:00.005375	6.222531E-1
01-01-1904  00:00:00.005400	6.107787E-1
01-01-1904  00:00:00.005425	6.120536E-1
01-01-1904  00:00:00.005450	6.133286E-1
01-01-1904  00:00:00.005475	6.158784E-1
01-01-1904  00:00:00.005500	6.209782E-1
01-01-1904  00:00:00.005525	6.069539E-1
01-01-1904  00:00:00.005550	6.146035E-1
01-01-1904  00:00:00.005575	6.082288E-1
01-01-1904  00:00:00.005600	6.158784E-1
01-01-1904  00:00:00.005625	6.158784E-1
01-01-1904  00:00:00.005650	6.146035E-1
01-01-1904  00:00:00.005675	6.248030E-1
01-01-1904  00:00:00.005700	6.031290E-1
01-01-1904  00:00:00.005725	6.209782E-1
01-01-1904  00:00:00.005750	6.133286E-1
01-01-1904  00:00:00.005775	6.222531E-1
01-01-1904  00:00:00.005800	6.120536E-1
01-01-1904  00:00:00.005825	6.146035E-1
01-01-1904  00:00:00.005850	6.158784E-1
01-01-1904  00:00:00.005875	6.107787E-1
01-01-1904  00:00:00.005900	6.171534E-1
01-01-1904  00:00:00.005925	6.120536E-1
01-01-1904  00:00:00.005950	6.146035E-1
01-01-1904  00:00:00.005975	6.095037E-1
01-01-1904  00:00:00.006000	6.158784E-1
01-01-1904  00:00:00.006025	6.158784E-1
01-01-1904  00:00:00.006050	6.158784E-1
01-01-1904  00:00:00.006075	6.209782E-1
01-01-1904  00:00:00.006100	6.031290E-1
01-01-1904  00:00:00.006125	6.209782E-1
01-01-1904  00:00:00.006150	6.120536E-1
01-01-1904  00:00:00.006175	6.209782E-1
01-01-1904  00:00:00.006200	6.120536E-1
01-01-1904  00:00:00.006225	6.158784E-1
01-01-1904  00:00:00.006250	6.158784E-1
01-01-1904  00:00:00.006275	6.107787E-1
01-01-1904  00:00:00.006300	6.171534E-1
01-01-1904  00:00:00.006325	6.171534E-1
01-01-1904  00:00:00.006350	6.133286E-1
01-01-1904  00:00:00.006375	6.095037E-1
01-01-1904  00:00:00.006400	6.171534E-1
01-01-1904  00:00:00.006425	6.133286E-1
01-01-1904  00:00:00.006450	6.171534E-1
01-01-1904  00:00:00.006475	6.209782E-1
01-01-1904  00:00:00.006500	6.044040E-1
01-01-1904  00:00:00.006525	6.184283E-1
01-01-1904  00:00:00.006550	6.120536E-1
01-01-1904  00:00:00.006575	6.209782E-1
01-01-1904  00:00:00.006600	6.120536E-1
01-01-1904  00:00:00.006625	6.171534E-1
01-01-1904  00:00:00.006650	6.171534E-1
01-01-1904  00:00:00.006675	6.082288E-1
01-01-1904  00:00:00.006700	6.235281E-1
01-01-1904  00:00:00.006725	6.133286E-1
01-01-1904  00:00:00.006750	6.197033E-1
01-01-1904  00:00:00.006775	6.082288E-1
01-01-1904  00:00:00.006800	6.158784E-1
01-01-1904  00:00:00.006825	6.197033E-1
01-01-1904  00:00:00.006850	6.107787E-1
01-01-1904  00:00:00.006875	6.209782E-1
01-01-1904  00:00:00.006900	6.056789E-1
01-01-1904  00:00:00.006925	6.158784E-1
