depth[mm]	HF [V]	NF [V]	TGC [dB]
10,7	0,019	0,017	0,000
10,8	0,018	0,013	0,052
11,0	0,018	0,006	0,000
11,1	0,018	-0,003	0,017
11,3	0,019	-0,012	0,000
11,4	0,019	-0,019	0,000
11,5	0,020	-0,019	0,000
11,7	0,021	-0,013	0,000
11,8	0,022	-0,001	0,000
12,0	0,022	0,012	0,000
12,1	0,022	0,022	0,000
12,2	0,022	0,024	0,000
12,4	0,022	0,017	0,000
12,5	0,022	0,006	0,000
12,6	0,021	-0,006	0,035
12,8	0,020	-0,013	0,035
12,9	0,020	-0,016	0,017
13,1	0,019	-0,015	0,000
13,2	0,018	-0,010	0,000
13,3	0,017	-0,001	0,017
13,5	0,016	0,011	0,000
13,6	0,016	0,019	0,000
13,8	0,015	0,018	0,000
13,9	0,015	0,010	0,000
14,0	0,014	0,002	0,000
14,2	0,014	-0,001	0,035
14,3	0,013	-0,003	0,017
14,5	0,013	-0,007	0,000
14,6	0,012	-0,012	0,000
14,7	0,011	-0,014	0,000
14,9	0,010	-0,008	0,000
15,0	0,009	0,002	0,000
15,2	0,008	0,007	0,000
15,3	0,007	0,005	-0,017
15,4	0,006	0,001	0,000
15,6	0,005	0,000	0,000
15,7	0,004	0,003	0,017
15,8	0,004	0,004	0,017
16,0	0,004	0,001	0,000
16,1	0,004	-0,003	0,000
16,3	0,004	-0,004	0,000
16,4	0,005	-0,002	0,000
16,5	0,006	0,001	0,000
16,7	0,007	0,002	0,017
16,8	0,009	0,005	0,000
17,0	0,010	0,009	0,000
17,1	0,012	0,013	0,000
17,2	0,013	0,013	0,017
17,4	0,015	0,007	0,000
17,5	0,016	-0,002	0,017
17,7	0,018	-0,012	0,000
17,8	0,019	-0,017	0,000
17,9	0,020	-0,017	0,000
18,1	0,020	-0,009	0,000
18,2	0,021	0,003	0,000
18,3	0,022	0,016	0,000
18,5	0,022	0,023	0,000
18,6	0,023	0,020	0,000
18,8	0,023	0,009	0,000
18,9	0,024	-0,007	0,000
19,0	0,024	-0,019	0,000
19,2	0,024	-0,023	0,017
19,3	0,024	-0,018	0,000
19,5	0,024	-0,007	0,017
19,6	0,024	0,007	0,017
19,7	0,024	0,019	0,017
19,9	0,024	0,024	0,000
20,0	0,023	0,022	0,000
20,2	0,023	0,011	0,000
20,3	0,022	-0,003	0,035
20,4	0,022	-0,015	0,000
20,6	0,021	-0,020	0,000
20,7	0,020	-0,017	0,000
20,9	0,020	-0,008	0,035
21,0	0,019	0,004	0,000
21,1	0,018	0,013	0,000
21,3	0,018	0,018	0,000
21,4	0,017	0,017	0,000
21,5	0,017	0,011	0,000
21,7	0,016	0,001	0,000
21,8	0,016	-0,008	0,000
22,0	0,016	-0,014	0,035
22,1	0,016	-0,014	0,000
22,2	0,015	-0,008	0,000
22,4	0,015	0,001	0,017
22,5	0,015	0,010	0,000
22,7	0,014	0,015	0,017
22,8	0,014	0,014	0,000
22,9	0,014	0,008	0,000
23,1	0,013	0,001	0,017
23,2	0,012	-0,006	0,000
23,4	0,012	-0,009	0,017
23,5	0,011	-0,009	0,000
23,6	0,010	-0,008	0,000
23,8	0,010	-0,004	0,000
23,9	0,009	0,002	0,000
24,0	0,008	0,007	0,000
24,2	0,007	0,009	0,017
24,3	0,006	0,007	0,000
24,5	0,006	0,004	0,000
24,6	0,005	0,002	0,000
24,7	0,004	0,001	0,017
24,9	0,004	0,001	0,000
25,0	0,003	0,001	0,052
25,2	0,003	0,001	0,000
25,3	0,003	0,001	0,035
25,4	0,003	-0,001	0,000
25,6	0,004	-0,004	0,000
25,7	0,005	-0,007	0,000
25,9	0,006	-0,008	0,000
26,0	0,007	-0,005	0,000
26,1	0,009	-0,001	0,000
26,3	0,011	0,004	0,000
26,4	0,013	0,009	0,000
