depth[mm]	HF [V]	NF [V]	TGC [dB]
18,6	0,026	0,010	0,000
18,8	0,029	-0,013	0,035
18,9	0,028	-0,027	0,000
19,0	0,023	-0,018	0,000
19,2	0,018	0,004	0,000
19,3	0,014	0,013	0,000
19,5	0,014	-0,002	0,000
19,6	0,018	-0,018	0,000
19,7	0,024	-0,010	0,000
19,9	0,029	0,018	0,017
20,0	0,031	0,030	0,000
20,2	0,028	0,009	0,000
20,3	0,023	-0,018	0,000
20,4	0,018	-0,014	0,035
20,6	0,016	0,010	0,000
20,7	0,018	0,012	0,000
20,8	0,023	-0,015	0,000
21,0	0,028	-0,026	0,000
21,1	0,031	0,005	0,000
21,3	0,033	0,032	0,000
21,4	0,034	0,005	0,000
21,5	0,037	-0,037	0,035
21,7	0,044	-0,015	0,000
21,8	0,057	0,051	0,000
22,0	0,079	0,040	0,000
22,1	0,112	-0,080	0,000
22,2	0,159	-0,143	0,000
22,4	0,220	0,016	0,000
22,5	0,293	0,272	0,000
22,7	0,371	0,282	0,000
22,8	0,446	-0,078	0,000
22,9	0,506	-0,472	0,000
23,1	0,545	-0,442	0,000
23,2	0,554	0,029	0,000
23,4	0,531	0,460	0,000
23,5	0,479	0,422	0,000
23,6	0,405	0,020	0,000
23,8	0,323	-0,277	0,035
23,9	0,247	-0,205	0,000
24,0	0,189	0,048	0,000
24,2	0,151	0,150	0,000
24,3	0,131	0,034	0,000
24,5	0,117	-0,098	0,000
24,6	0,102	-0,085	0,000
24,7	0,084	0,018	0,000
24,9	0,064	0,063	0,000
25,0	0,048	0,018	0,000
25,2	0,038	-0,032	0,000
25,3	0,034	-0,025	0,000
25,4	0,030	0,012	0,052
25,6	0,025	0,025	0,000
25,7	0,017	0,008	0,000
25,9	0,009	-0,006	0,000
26,0	0,006	-0,001	0,035
26,1	0,006	0,007	0,017
26,3	0,009	0,006	0,000
26,4	0,013	-0,002	0,000
26,5	0,015	-0,010	0,035
26,7	0,016	-0,015	0,000
26,8	0,017	-0,015	0,000
27,0	0,021	-0,005	0,000
27,1	0,025	0,014	0,000
27,2	0,029	0,028	0,000
27,4	0,029	0,021	0,000
27,5	0,026	0,000	0,000
27,7	0,020	-0,016	0,017
27,8	0,013	-0,014	0,000
27,9	0,008	-0,002	0,000
28,1	0,005	0,004	0,000
28,2	0,004	0,000	0,000
28,4	0,005	-0,005	0,000
28,5	0,005	-0,005	0,000
28,6	0,004	0,000	0,000
28,8	0,002	0,002	0,035
28,9	0,001	0,000	0,000
29,1	0,002	-0,001	0,000
29,2	0,004	0,002	0,000
29,3	0,009	0,008	0,070
29,5	0,013	0,011	0,945
29,6	0,016	0,004	3,465
29,7	0,017	-0,010	5,512
29,9	0,018	-0,018	6,929
30,0	0,018	-0,012	7,717
30,2	0,018	0,005	8,276
30,3	0,017	0,016	8,504
30,4	0,016	0,013	8,661
30,6	0,013	0,002	8,819
30,7	0,009	-0,006	8,941
30,9	0,005	-0,005	8,959
31,0	0,003	0,001	8,976
31,1	0,004	0,004	8,976
31,3	0,006	0,004	8,976
31,4	0,010	0,002	8,976
31,6	0,013	-0,003	8,976
31,7	0,014	-0,009	8,976
31,8	0,013	-0,013	9,011
32,0	0,010	-0,010	9,046
32,1	0,008	-0,007	9,116
32,2	0,008	-0,007	9,011
32,4	0,010	-0,008	9,116
32,5	0,013	-0,003	9,081
32,7	0,015	0,008	9,116
32,8	0,015	0,014	9,134
32,9	0,012	0,008	9,116
33,1	0,008	-0,002	9,116
33,2	0,005	-0,004	9,134
33,4	0,006	0,004	9,134
33,5	0,011	0,009	9,134
33,6	0,018	0,000	9,116
33,8	0,023	-0,016	9,134
33,9	0,024	-0,023	9,134
34,1	0,021	-0,015	9,134
34,2	0,017	-0,001	9,134
34,3	0,014	0,010	9,134
34,5	0,011	0,011	9,134
34,6	0,010	0,006	9,134
34,8	0,009	-0,002	9,134
34,9	0,007	-0,007	9,134
35,0	0,007	-0,006	9,134
35,2	0,007	0,002	9,134
35,3	0,008	0,007	9,134
35,4	0,008	0,004	9,134
35,6	0,007	-0,003	9,134
35,7	0,005	-0,006	9,134
35,9	0,004	-0,002	9,134
36,0	0,006	-0,001	9,151
36,1	0,010	-0,008	9,134
36,3	0,016	-0,016	9,169
36,4	0,020	-0,014	9,134
36,6	0,021	0,000	9,169
36,7	0,018	0,012	9,134
36,8	0,014	0,014	9,204
37,0	0,011	0,010	9,186
37,1	0,010	0,006	9,239
37,3	0,011	0,003	9,169
37,4	0,014	-0,004	9,274
37,5	0,015	-0,014	9,291
37,7	0,015	-0,013	9,291
37,8	0,015	0,000	9,291
37,9	0,017	0,015	9,291
38,1	0,019	0,015	9,291
38,2	0,020	0,000	9,291
38,4	0,020	-0,015	9,291
38,5	0,016	-0,017	9,291
38,6	0,011	-0,006	9,291
38,8	0,007	0,003	9,291
38,9	0,005	0,002	9,291
39,1	0,006	-0,005	9,291
39,2	0,009	-0,010	9,291
39,3	0,012	-0,006	9,291
39,5	0,013	0,002	9,291
39,6	0,013	0,009	9,291
39,8	0,011	0,011	9,291
39,9	0,008	0,008	9,291
40,0	0,007	0,003	9,291
40,2	0,006	0,001	9,291
40,3	0,007	0,001	9,291
40,4	0,007	-0,001	9,326
40,6	0,008	-0,005	9,291
40,7	0,007	-0,007	9,344
40,9	0,005	-0,006	9,291
41,0	0,004	-0,003	9,396
41,1	0,003	-0,002	9,291
41,3	0,003	-0,004	9,326
41,4	0,005	-0,005	9,361
41,6	0,007	-0,002	9,431
41,7	0,008	0,003	9,414
41,8	0,009	0,008	9,431
42,0	0,010	0,009	9,379
42,1	0,011	0,007	9,449
42,3	0,014	0,001	9,449
42,4	0,016	-0,009	9,449
42,5	0,017	-0,016	9,449
42,7	0,016	-0,015	9,449
42,8	0,012	-0,007	9,449
43,0	0,008	0,001	9,449
43,1	0,005	0,003	9,449
43,2	0,004	0,001	9,449
43,4	0,005	0,002	9,449
43,5	0,007	0,007	9,449
43,6	0,009	0,009	9,449
43,8	0,010	0,006	9,449
43,9	0,010	0,000	9,449
44,1	0,009	-0,005	9,449
44,2	0,008	-0,006	9,449
44,3	0,008	-0,007	9,466
44,5	0,007	-0,008	9,449
44,6	0,007	-0,007	9,449
44,8	0,006	-0,004	9,449
44,9	0,005	-0,003	9,449
45,0	0,005	-0,004	9,449
45,2	0,006	-0,002	9,466
45,3	0,008	0,005	9,466
45,5	0,011	0,010	9,519
45,6	0,016	0,001	9,449
45,7	0,021	-0,018	9,536
45,9	0,028	-0,026	9,484
46,0	0,035	-0,007	9,554
46,1	0,041	0,028	9,536
46,3	0,046	0,046	9,589
46,4	0,049	0,028	9,571
46,6	0,050	-0,011	9,606
46,7	0,047	-0,040	9,606
46,8	0,041	-0,040	9,606
47,0	0,033	-0,020	9,606
47,1	0,024	0,001	9,606
47,3	0,016	0,010	9,589
47,4	0,009	0,008	9,606
47,5	0,005	0,005	9,589
47,7	0,004	0,003	9,606
47,8	0,005	0,005	9,606
48,0	0,008	0,009	9,606
48,1	0,012	0,009	9,606
48,2	0,015	0,002	9,606
48,4	0,017	-0,009	9,606
48,5	0,016	-0,015	9,606
48,6	0,013	-0,012	9,606
48,8	0,008	-0,005	9,606
48,9	0,005	-0,001	9,606
49,1	0,003	-0,002	9,606
49,2	0,004	-0,004	9,606
49,3	0,005	-0,003	9,624
49,5	0,005	0,001	9,606
49,6	0,004	0,002	9,624
49,8	0,002	0,001	9,606
49,9	0,002	0,001	9,694
50,0	0,004	0,004	9,606
50,2	0,007	0,006	9,659
50,3	0,009	0,002	9,659
50,5	0,009	-0,005	9,711
50,6	0,006	-0,007	9,729
50,7	0,004	-0,003	9,746
50,9	0,004	0,002	9,711
51,0	0,006	0,000	9,764
51,2	0,011	-0,008	9,764
51,3	0,015	-0,014	9,764
51,4	0,016	-0,014	9,764
51,6	0,013	-0,007	9,764
51,7	0,009	0,000	9,764
51,8	0,005	0,002	9,764
52,0	0,003	0,000	9,764
52,1	0,003	0,000	9,764
52,3	0,004	0,002	9,764
52,4	0,004	0,003	9,764
52,5	0,002	0,002	9,764
52,7	0,001	-0,001	9,764
52,8	0,000	0,000	9,764
53,0	0,002	0,002	9,764
53,1	0,005	0,002	9,764
53,2	0,008	-0,003	9,764
53,4	0,009	-0,008	9,764
53,5	0,007	-0,008	9,764
53,7	0,005	-0,003	9,764
53,8	0,004	0,001	9,764
53,9	0,004	-0,001	9,764
54,1	0,006	-0,007	9,799
54,2	0,008	-0,008	9,764
54,3	0,008	-0,004	9,886
54,5	0,005	0,001	9,764
54,6	0,004	0,001	9,851
54,8	0,004	-0,004	9,816
54,9	0,007	-0,008	9,921
55,0	0,010	-0,007	9,904
55,2	0,013	-0,002	9,904
55,3	0,013	0,004	9,886
55,5	0,011	0,008	9,921
55,6	0,008	0,007	9,921
55,7	0,005	0,005	9,921
55,9	0,003	0,003	9,921
56,0	0,003	0,002	9,921
56,2	0,003	0,000	9,921
56,3	0,004	-0,003	9,921
56,4	0,005	-0,005	9,921
56,6	0,007	-0,003	9,921
56,7	0,007	0,002	9,921
56,9	0,007	0,006	9,921
57,0	0,005	0,005	9,921
57,1	0,004	0,001	9,921
57,3	0,003	-0,002	9,939
57,4	0,002	-0,001	9,956
57,5	0,002	0,001	9,921
57,7	0,002	0,002	10,009
57,8	0,002	0,000	9,939
58,0	0,002	-0,002	10,044
58,1	0,003	-0,001	9,956
58,2	0,003	0,001	10,061
58,4	0,004	0,003	10,026
58,5	0,003	0,003	10,044
58,7	0,002	0,001	10,044
58,8	0,001	-0,001	10,079
58,9	0,001	-0,001	10,061
59,1	0,001	0,000	10,079
59,2	0,001	0,001	10,079
59,4	0,001	0,001	10,079
59,5	0,001	0,000	10,079
59,6	0,000	0,000	10,079
59,8	0,000	0,000	10,079
59,9	0,000	0,000	10,079
60,0	0,001	0,000	10,079
60,2	0,002	-0,002	10,079
60,3	0,003	-0,003	10,079
60,5	0,004	-0,003	10,079
60,6	0,004	-0,002	10,079
60,7	0,005	0,000	10,079
60,9	0,006	0,002	10,079
61,0	0,006	0,005	10,079
61,2	0,006	0,006	10,079
61,3	0,005	0,005	10,079
61,4	0,004	0,002	10,079
61,6	0,002	-0,001	10,079
61,7	0,001	-0,001	10,079
61,9	0,001	0,000	10,096
62,0	0,001	0,001	10,096
62,1	0,002	0,002	10,131
62,3	0,002	0,001	10,096
62,4	0,002	-0,001	10,166
62,5	0,002	-0,002	10,131
62,7	0,002	-0,002	10,201
62,8	0,002	-0,002	10,114
63,0	0,003	-0,001	10,219
63,1	0,003	0,000	10,184
63,2	0,003	0,001	10,201
63,4	0,002	0,002	10,184
63,5	0,002	0,002	10,236
63,7	0,001	0,001	10,236
63,8	0,001	0,001	10,236
63,9	0,001	0,001	10,236
64,1	0,002	0,002	10,236
64,2	0,002	0,002	10,236
64,4	0,002	0,001	10,236
64,5	0,001	0,000	10,236
64,6	0,001	-0,001	10,236
64,8	0,001	-0,001	10,236
64,9	0,001	0,000	10,236
65,1	0,001	0,000	10,236
65,2	0,001	0,000	10,236
65,3	0,001	0,000	10,236
65,5	0,000	0,000	10,236
65,6	0,000	0,000	10,236
65,7	0,000	0,000	10,236
65,9	0,000	0,000	10,236
66,0	0,000	0,001	10,254
66,2	0,001	0,000	10,236
66,3	0,001	0,000	10,236
66,4	0,001	-0,001	10,254
66,6	0,001	-0,001	10,306
66,7	0,001	0,000	10,271
66,9	0,001	0,000	10,359
67,0	0,001	-0,001	10,271
67,1	0,003	-0,002	10,394
67,3	0,004	0,000	10,271
67,4	0,006	0,003	10,376
67,6	0,006	0,006	10,359
67,7	0,006	0,005	10,376
67,8	0,005	0,000	10,359
68,0	0,004	-0,004	10,394
68,1	0,004	-0,003	10,394
68,2	0,004	0,002	10,394
68,4	0,005	0,005	10,394
68,5	0,004	0,003	10,394
68,7	0,003	0,000	10,394
68,8	0,002	-0,001	10,394
68,9	0,001	0,000	10,394
69,1	0,002	0,000	10,394
69,2	0,003	-0,002	10,394
69,4	0,005	-0,005	10,394
69,5	0,007	-0,006	10,394
69,6	0,007	-0,003	10,394
69,8	0,007	0,001	10,394
69,9	0,006	0,004	10,394
70,1	0,006	0,005	10,411
70,2	0,006	0,006	10,394
70,3	0,006	0,006	10,411
70,5	0,006	0,004	10,411
70,6	0,005	0,001	10,394
70,8	0,003	-0,001	10,411
70,9	0,002	-0,001	10,394
71,0	0,001	-0,001	10,464
71,2	0,001	0,000	10,394
71,3	0,001	-0,001	10,411
71,4	0,002	-0,002	10,411
71,6	0,002	-0,001	10,481
71,7	0,001	0,000	10,394
71,9	0,001	0,000	10,481
72,0	0,001	0,001	10,446
72,1	0,002	0,001	10,534
72,3	0,002	0,002	10,481
72,4	0,002	0,002	10,551
72,6	0,002	0,001	10,516
72,7	0,001	0,000	10,551
72,8	0,001	0,000	10,551
73,0	0,001	0,000	10,551
73,1	0,001	0,000	10,551
73,3	0,001	-0,001	10,551
73,4	0,001	-0,001	10,551
73,5	0,001	0,000	10,551
73,7	0,001	0,000	10,551
73,8	0,001	-0,001	10,551
73,9	0,002	-0,001	10,551
74,1	0,004	0,001	10,551
74,2	0,006	0,004	10,551
74,4	0,006	0,006	10,551
74,5	0,006	0,005	10,551
74,6	0,005	0,003	10,551
74,8	0,004	0,000	10,551
74,9	0,002	0,000	10,411
75,1	0,002	0,000	10,394
75,2	0,001	0,000	10,359
75,3	0,001	-0,001	10,079
75,5	0,001	-0,001	7,997
75,6	0,001	0,000	3,465
75,8	0,001	0,000	1,732
75,9	0,001	0,000	1,102
76,0	0,001	-0,001	0,787
76,2	0,001	-0,001	0,612
76,3	0,001	0,000	0,472
76,4	0,001	-0,001	0,315
76,6	0,001	-0,001	0,315
76,7	0,001	0,000	0,227
76,9	0,001	0,000	0,157
77,0	0,001	0,000	0,157
77,1	0,001	-0,001	0,157
77,3	0,001	-0,001	0,140
77,4	0,001	0,000	0,157
77,6	0,002	0,001	0,070
77,7	0,002	0,000	0,087
77,8	0,002	-0,002	0,035
78,0	0,003	-0,001	0,035
78,1	0,003	0,002	0,000
78,3	0,003	0,002	0,035
78,4	0,003	-0,002	0,000
78,5	0,004	-0,004	0,035
78,7	0,004	0,001	0,000
78,8	0,005	0,005	0,035
79,0	0,006	0,000	0,000
79,1	0,006	-0,006	0,000
79,2	0,007	-0,003	0,000
79,4	0,008	0,006	0,017
79,5	0,010	0,006	0,000
79,6	0,011	-0,006	0,017
79,8	0,012	-0,011	0,000
79,9	0,013	0,004	0,000
80,1	0,017	0,015	0,000
80,2	0,027	-0,008	0,000
80,3	0,043	-0,044	0,000
80,5	0,066	-0,027	0,017
80,6	0,094	0,057	0,000
80,8	0,123	0,122	0,000
80,9	0,150	0,067	0,000
81,0	0,171	-0,084	0,000
81,2	0,183	-0,182	0,000
81,3	0,182	-0,120	0,000
81,5	0,167	0,039	0,000
81,6	0,138	0,130	0,000
81,7	0,102	0,081	0,000
81,9	0,068	-0,018	0,017
82,0	0,047	-0,044	0,000
82,1	0,043	0,011	0,000
82,3	0,051	0,053	0,000
82,4	0,060	0,023	0,000
82,6	0,060	-0,035	-0,017
82,7	0,049	-0,049	0,000
82,8	0,032	-0,015	0,000
83,0	0,018	0,012	0,000
83,1	0,014	0,002	0,000
83,3	0,017	-0,018	0,000
83,4	0,023	-0,015	0,000
83,5	0,023	0,006	0,035
83,7	0,017	0,016	0,000
83,8	0,009	0,007	0,000
84,0	0,004	-0,001	0,000
84,1	0,005	0,005	0,017
84,2	0,009	0,011	0,000
84,4	0,013	0,006	0,017
84,5	0,014	-0,007	0,000
84,7	0,011	-0,010	0,000
84,8	0,007	-0,001	0,000
84,9	0,006	0,006	0,017
85,1	0,007	0,003	0,000
85,2	0,008	-0,006	0,000
85,3	0,009	-0,008	0,000
85,5	0,008	-0,001	0,070
85,6	0,005	0,005	0,000
85,8	0,004	0,003	0,000
85,9	0,003	-0,001	0,000
86,0	0,003	-0,003	0,017
86,2	0,002	-0,001	0,000
86,3	0,002	0,001	0,000
86,5	0,001	-0,001	0,000
86,6	0,002	-0,002	0,000
86,7	0,004	0,000	0,000
86,9	0,006	0,004	0,000
87,0	0,007	0,007	0,000
87,2	0,007	0,005	0,017
87,3	0,005	0,002	0,000
87,4	0,003	-0,001	0,000
87,6	0,002	-0,001	0,000
87,7	0,001	0,000	0,035
87,8	0,002	0,000	0,000
88,0	0,002	-0,001	0,000
88,1	0,003	-0,002	0,000
88,3	0,002	-0,002	0,017
88,4	0,002	-0,001	0,000
88,5	0,001	0,000	0,000
88,7	0,001	0,000	0,000
88,8	0,001	-0,001	0,017
89,0	0,001	0,000	0,000
89,1	0,002	0,001	0,035
89,2	0,002	0,002	0,000
89,4	0,002	0,001	0,017
89,5	0,001	0,001	0,000
89,7	0,001	0,000	0,017
89,8	0,001	-0,001	0,000
89,9	0,001	-0,001	0,052
